OBJECTID,SubmitterOrganization,SubmitterPerson,Collector,InstitutionCode,CollectionCode,BasisOfRecord,CatalogNumber,Source,Genus,SubGenus,Species,ScientificName,IdentifiedBy,IdentificationMethod,VerbatimCollectingDate,TimeCollected,DecimalLatitude,EarliestDateCollected,LatestDateCollected,DecimalLongitude,CoordinateUncertaintyInMeters,Country,StateProvince,County,Locality,VerbatimCoordinates,VerbatimLatitude,VerbatimLongitude,IndividualCount,Sex,LifeStage,Remarks,CollectingMethod,LarvalHabitatType,AssociatedParasite,NumberParasitePositive,IdentificationMethodForParasite,NumberSpecimensParasiteTested,ParasiteTestedBy,EarliestYearCollected,EarliestMonthCollected,x,y
1558752,USAMRD-G,MAJ Drew Reinbold-Wasson, ,USAMRD-G,19Steg0528-1456.04,Human observation, ,GEIS P0031_19_GA_06.03 - Steg,Culex,Maillotia,hortensis,Culex (Mai.) hortensis,T. chunashvili,DNA,28-May-19,1456,41.79882,5/28/2019 12:00:00 AM,5/28/2019 12:00:00 AM,44.917933,31,Georgia,Kvemo Kartli,Gardabani,Gardabani,"41.79882, 44.917933",41.79882,44.917933,1,Female,Adult,"E117 Hwybypass road. third dirt patch, run-off area from road, cows walk through the puddle; Temperature 18.9*; Humidity 70*; Larva Dipping; Exposed Pool, Puddle",Larval collection,"Exposed Pool, Puddle; Turbid water; Fresh water; Slow flow; Emergent vegetation; Semipermanent water",0,0, , , ,2019,5,44.9179330000001,41.79882
1558753,USAMRD-G,MAJ Drew Reinbold-Wasson, ,USAMRD-G,19Steg0528-1440.03,Human observation, ,GEIS P0031_19_GA_06.03 - Steg,Culex,Culex,pipiens,Culex (Cux.) pipiens,T. chunashvili,DNA,28-May-19,1440,41.783918,5/28/2019 12:00:00 AM,5/28/2019 12:00:00 AM,44.924662,31,Georgia,Kvemo Kartli,Gardabani,Gardabani,"41.7839180101999, 44.9246617968034",41.78391801,44.9246618,3,Female,Adult,"pasture puddle, with tall emergent grass; Temperature 18.9*; Humidity 70*; Larva Dipping; Exposed Pool, Puddle",Larval collection,"Exposed Pool, Puddle; Clear water; Fresh water; Standing water; Emergent vegetation; Temporary water",0,0, , , ,2019,5,44.9246620000001,41.7839180000001
1558754,USAMRD-G,MAJ Drew Reinbold-Wasson, ,USAMRD-G,19Steg0528-1440.05,Human observation, ,GEIS P0031_19_GA_06.03 - Steg,Culex,Culex,pipiens,Culex (Cux.) pipiens,T. chunashvili,DNA,28-May-19,1440,41.783918,5/28/2019 12:00:00 AM,5/28/2019 12:00:00 AM,44.924662,31,Georgia,Kvemo Kartli,Gardabani,Gardabani,"41.7839180101999, 44.9246617968034",41.78391801,44.9246618,1,Male,Adult,"pasture puddle, with tall emergent grass; Temperature 18.9*; Humidity 70*; Larva Dipping; Exposed Pool, Puddle",Larval collection,"Exposed Pool, Puddle; Clear water; Fresh water; Standing water; Emergent vegetation; Temporary water",0,0, , , ,2019,5,44.9246620000001,41.7839180000001
1558755,USAMRD-G,MAJ Drew Reinbold-Wasson, ,USAMRD-G,19Steg0528-1440.07,Human observation, ,GEIS P0031_19_GA_06.03 - Steg,Culex,Culex,pipiens,Culex (Cux.) pipiens,T. chunashvili,DNA,28-May-19,1440,41.783918,5/28/2019 12:00:00 AM,5/28/2019 12:00:00 AM,44.924662,31,Georgia,Kvemo Kartli,Gardabani,Gardabani,"41.7839180101999, 44.9246617968034",41.78391801,44.9246618,2,Female,Adult,"pasture puddle, with tall emergent grass; Temperature 18.9*; Humidity 70*; Larva Dipping; Exposed Pool, Puddle",Larval collection,"Exposed Pool, Puddle; Clear water; Fresh water; Standing water; Emergent vegetation; Temporary water",0,0, , , ,2019,5,44.9246620000001,41.7839180000001
1558756,USAMRD-G,MAJ Drew Reinbold-Wasson, ,USAMRD-G,19Steg0528-1440.09,Human observation, ,GEIS P0031_19_GA_06.03 - Steg,Culex,Culex,pipiens,Culex (Cux.) pipiens,T. chunashvili,DNA,28-May-19,1440,41.783918,5/28/2019 12:00:00 AM,5/28/2019 12:00:00 AM,44.924662,31,Georgia,Kvemo Kartli,Gardabani,Gardabani,"41.7839180101999, 44.9246617968034",41.78391801,44.9246618,2,Male,Adult,"pasture puddle, with tall emergent grass; Temperature 18.9*; Humidity 70*; Larva Dipping; Exposed Pool, Puddle",Larval collection,"Exposed Pool, Puddle; Clear water; Fresh water; Standing water; Emergent vegetation; Temporary water",0,0, , , ,2019,5,44.9246620000001,41.7839180000001
1558757,USAMRD-G,MAJ Drew Reinbold-Wasson, ,USAMRD-G,19Steg0528-1456.01,Human observation, ,GEIS P0031_19_GA_06.03 - Steg,Aedes,Aedimorphus,vexans,Aedes (Adm.) vexans,T. chunashvili,DNA,28-May-19,1456,41.79882,5/28/2019 12:00:00 AM,5/28/2019 12:00:00 AM,44.917933,31,Georgia,Kvemo Kartli,Gardabani,Gardabani,"41.79882, 44.917933",41.79882,44.917933,3,Female,Adult,"E117 Hwybypass road. third dirt patch, run-off area from road, cows walk through the puddle; Temperature 18.9*; Humidity 70*; Larva Dipping; Exposed Pool, Puddle",Larval collection,"Exposed Pool, Puddle; Turbid water; Fresh water; Slow flow; Emergent vegetation; Semipermanent water",0,0, , , ,2019,5,44.9179330000001,41.79882
1558758,USAMRD-G,MAJ Drew Reinbold-Wasson, ,USAMRD-G,19Steg0528-1440.01,Human observation, ,GEIS P0031_19_GA_06.03 - Steg,Aedes,Aedimorphus,vexans,Aedes (Adm.) vexans,T. chunashvili,DNA,28-May-19,1440,41.783918,5/28/2019 12:00:00 AM,5/28/2019 12:00:00 AM,44.924662,31,Georgia,Kvemo Kartli,Gardabani,Gardabani,"41.7839180101999, 44.9246617968034",41.78391801,44.9246618,10,Female,Adult,"pasture puddle, with tall emergent grass; Temperature 18.9*; Humidity 70*; Larva Dipping; Exposed Pool, Puddle",Larval collection,"Exposed Pool, Puddle; Clear water; Fresh water; Standing water; Emergent vegetation; Temporary water",0,0, , , ,2019,5,44.9246620000001,41.7839180000001
1558759,USAMRD-G,MAJ Drew Reinbold-Wasson, ,USAMRD-G,19Steg0528-1440.02,Human observation, ,GEIS P0031_19_GA_06.03 - Steg,Aedes,Aedimorphus,vexans,Aedes (Adm.) vexans,T. chunashvili,DNA,28-May-19,1440,41.783918,5/28/2019 12:00:00 AM,5/28/2019 12:00:00 AM,44.924662,31,Georgia,Kvemo Kartli,Gardabani,Gardabani,"41.7839180101999, 44.9246617968034",41.78391801,44.9246618,3,Female,Adult,"pasture puddle, with tall emergent grass; Temperature 18.9*; Humidity 70*; Larva Dipping; Exposed Pool, Puddle",Larval collection,"Exposed Pool, Puddle; Clear water; Fresh water; Standing water; Emergent vegetation; Temporary water",0,0, , , ,2019,5,44.9246620000001,41.7839180000001
1558760,USAMRD-G,MAJ Drew Reinbold-Wasson, ,USAMRD-G,19Steg0528-1440.04,Human observation, ,GEIS P0031_19_GA_06.03 - Steg,Aedes,Aedimorphus,vexans,Aedes (Adm.) vexans,T. chunashvili,DNA,28-May-19,1440,41.783918,5/28/2019 12:00:00 AM,5/28/2019 12:00:00 AM,44.924662,31,Georgia,Kvemo Kartli,Gardabani,Gardabani,"41.7839180101999, 44.9246617968034",41.78391801,44.9246618,12,Male,Adult,"pasture puddle, with tall emergent grass; Temperature 18.9*; Humidity 70*; Larva Dipping; Exposed Pool, Puddle",Larval collection,"Exposed Pool, Puddle; Clear water; Fresh water; Standing water; Emergent vegetation; Temporary water",0,0, , , ,2019,5,44.9246620000001,41.7839180000001
1558761,USAMRD-G,MAJ Drew Reinbold-Wasson, ,USAMRD-G,19Steg0528-1329.01,Human observation, ,GEIS P0031_19_GA_06.03 - Steg,Aedes,Aedimorphus,vexans,Aedes (Adm.) vexans,T. chunashvili,DNA,28-May-19,1329,41.813411,5/28/2019 12:00:00 AM,5/28/2019 12:00:00 AM,44.962302,31,Georgia,Kvemo Kartli,Gardabani,Gardabani,"41.8134107349662, 44.9623022950636",41.81341073,44.9623023,10,Female,Adult,"forest road that was flooded. Thick tree and blackberry cover on both sides; Temperature 18.9*; Humidity 70*; Larva Dipping; Exposed Pool, Puddle",Larval collection,"Exposed Pool, Puddle; Turbid water; Fresh water; Standing water; No vegetation; Temporary water",0,0, , , ,2019,5,44.9623020000001,41.8134110000001
